title,department
ADM 3326 Advertising and Sales Promotion Management (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3333 Staffing Organizations (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3334 Industrial Relations (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3337 Compensation Administration (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3340 Intermediate Accounting II (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3345 Taxation I (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3346 Cost Accounting (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3349 Auditing Theory (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3350 Corporate Finance (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3351 Fixed Income Investments (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3352 Portfolio Management (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3354 Financial Modeling (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3355 Fintech (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3357 Applied Investment Fund Management Module I (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3358 Multinational Business Finance (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3360 Business Law (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3363 Healthcare Informatics for Managers (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3378 Emerging Topics in Management Information Systems (3 units),https://catalogue.uottawa.ca/en/courses/adm/
"ADM 3379 Systems Analysis, Development, and Performance (3 units)",https://catalogue.uottawa.ca/en/courses/adm/
ADM 3396 Seminar in Administration (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3518 Commerce international (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3701 Gestion des opérations (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3702 Gestion de la chaîne d'approvisionnement (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3704 Conseil en gestion (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3705 La simulation pour l'analytique de gestion (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3708 Forage de données en gestion (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3713 Création d'une nouvelle entreprise (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3715 Entrepreneuriat social (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3716 Veille concurrentielle (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3717 Variétés de capitalisme: depuis les marchands médiévaux jusqu'aux multinationales modernes (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3718 Commerce international (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3719 Gestion comparée (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3721 Comportement du consommateur (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3722 Marketing des services (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3723 Méthodes de recherche en marketing (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3726 Gestion de la publicité et de la promotion des ventes (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3733 Dotation des organisations (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3734 Relations industrielles (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3737 Administration de la rémunération (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3740 Comptabilité intermédiaire II (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3745 Fiscalité I (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3746 Prix de revient (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3749 La théorie de la vérification (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3750 Finance d'entreprise (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3751 Placements en titres à revenu fixe (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3752 Gestion de portefeuille (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3754 Modélisation financière (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3755 Fintech (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3757 Module appliquée d'analyse des investissements I (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3760 Droit des affaires (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3763 Informatique de soins de santé pour les gestionnaires (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3778 Thèmes en émergence  en systèmes d'information de gestion (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
"ADM 3779 Conception de systèmes d'information, développement et performance (3 crédits)",https://catalogue.uottawa.ca/en/courses/adm/
ADM 3797 Séminaire en administration (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3901 Stage coop / Co-op Work Term (3 crédits / 3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3902 Stage coop / Co-op Work Term (3 crédits / 3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3993 Analyse et présentation des études de cas / Case Study Analysis and Presentation (3 crédits / 3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3994 Préparation et participation à la compétition de cas d'affaires I / Preparation and Participation to Business Cases I (3 crédits / 3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3998 Recherche appliquée en gestion / Applied Research in Management (3 crédits / 3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4103 Project Management (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4113 Advising Family Business (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4307 Business Forecasting Analytics (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4310 Managing Science and Technology Enterprises (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4311 Strategic Management (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4312 Management in the New Economy (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4315 Strategic Entrepreneurship (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4316 Management of Innovation (3 units),https://catalogue.uottawa.ca/en/courses/adm/
"ADM 4317 Leadership, Strategy and Sustainability (3 units)",https://catalogue.uottawa.ca/en/courses/adm/
ADM 4318 Multinational Business Policy (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4319 Strategic Management in Developing and Emerging Economies (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4322 Marketing Strategy (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4325 Promotional Planning Practicum (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4326 Digital Marketing Technologies (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4328 International Marketing (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4329 Personal Selling (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4336 Occupational Health and Safety (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4337 Managing Change (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4338 International Training and Development for Sustainability (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4339 Strategic Human Resources Planning (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4340 Cases Studies in Accounting (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4341 Advanced Auditing (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4342 Seminar in Accounting Theory (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4343 Data Analytics in Accounting (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4344 Taxation II (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 4345 Management Control Systems (3 units),https://catalogue.uottawa.ca/en/courses/adm/
